ID,Household income,Method,education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Availability,Quality,Willingness to pay,Kitchen Sink,ToiletWC,Garden,car,Volume in lpcd,Shortest distance,Height diff
328,100000,delivered,1,4,0,75,30,3000,not_often,fair,7000,0,0,0,0,30,280.49,5
329,45000,delivered,1,6,0,75,20,2000,not_often,fair,9000,0,0,0,0,20,226.08,0
330,60000,carried,1,3,0,75,40,6000,not_often,good,7000,0,0,0,0,60,208.21,3
331,80000,delivered,1,4,0,75,30,4000,not_often,good,7000,0,0,0,0,40,227.73,4
332,105000,carried,1,4,0,75,20,4000,not_often,fair,8000,0,0,0,0,40,263.29,2
333,70000,delivered,1,5,0,75,40,2000,often,good,4000,0,0,0,0,20,295.58,7
334,75000,delivered,1,4,0,75,30,4000,often,fair,7000,0,0,0,0,40,258.31,8
335,75000,carried,1,4,0,75,30,4000,often,fair,7000,0,0,0,0,40,217.61,6
336,75000,delivered,1,4,0,75,30,9000,often,good,7000,0,0,0,0,90,112.01,5
337,60000,carried,1,3,0,75,40,9000,not_often,good,7000,0,0,0,0,120,106.78,3
338,65000,carried,2,5,0,75,40,8000,not_often,good,4000,0,0,0,0,80,62.43,2
339,50000,delivered,1,4,0,75,55,9000,not_often,fair,4000,0,0,0,0,110,68.25,3
340,50000,carried,1,5,0,75,35,8000,often,good,4000,0,0,0,0,80,117.72,4
341,50000,delivered,1,3,0,75,40,9000,often,fair,7000,0,0,0,0,120,150.76,4
342,50000,carried,1,4,0,75,30,8000,not_often,good,7000,0,0,0,0,80,187.24,4
343,50000,carried,1,6,0,75,20,5000,not_often,fair,9000,0,0,0,0,50,196.98,1
344,50000,carried,1,5,0,75,40,7000,not_often,fair,4000,0,0,0,0,70,151.79,4
345,50000,delivered,1,3,0,75,40,9000,often,good,7000,0,0,0,0,140,52.17,2
346,50000,carried,1,4,0,75,30,9000,often,good,7000,0,0,0,0,90,109.81,1
347,50000,carried,1,5,0,75,40,7000,not_often,good,4000,0,0,0,0,70,145.99,3
348,70000,delivered,1,4,0,75,30,9000,often,good,7000,0,0,0,0,100,97.02,2
349,75000,carried,1,4,0,75,30,9000,often,good,7000,0,0,0,0,100,76.22,0
350,90000,delivered,1,6,0,75,55,7000,not_often,fair,9000,0,0,0,0,70,71.81,2
351,70000,delivered,1,5,0,75,40,8000,not_often,fair,4000,0,0,0,0,80,61.2,1
352,75000,carried,1,4,0,75,30,9000,often,fair,7000,0,0,0,0,90,125.25,2
353,100000,delivered,1,3,0,75,20,4000,not_often,good,12000,0,0,0,0,40,293.9,5
354,70000,delivered,1,5,0,75,35,2000,often,fair,4000,0,0,0,0,20,340.3,5
355,80000,delivered,1,6,0,75,15,2000,not_often,good,9000,0,0,0,0,20,267.37,4
356,95000,delivered,1,6,0,75,15,2000,not_often,good,9000,0,0,0,0,20,296.45,5
357,90000,delivered,2,6,0,75,15,1000,often,fair,9000,0,0,0,0,10,328.4,6
358,40000,delivered,1,4,0,75,60,3000,often,fair,3000,0,0,0,0,30,271.15,4
359,55000,delivered,1,3,0,75,40,4000,often,good,7000,0,0,0,0,40,260.71,4
360,100000,delivered,1,3,0,75,15,3000,not_often,good,11000,0,0,0,0,30,327.27,7
361,85000,delivered,1,6,0,75,15,2000,not_often,fair,9000,0,0,0,0,20,291.29,6
362,105000,delivered,1,6,0,75,15,1000,not_often,fair,9000,0,0,0,0,10,339.84,8
363,100000,delivered,1,6,0,75,15,1000,not_often,fair,9000,0,0,0,0,10,306.22,6
364,100000,delivered,1,5,0,75,40,2000,often,very good,4000,0,0,0,0,20,268.07,5
365,100000,delivered,1,6,0,75,15,1000,not_often,good,9000,0,0,0,0,10,355.76,7
366,100000,delivered,1,3,0,75,40,2000,not_often,good,7000,0,0,0,0,20,310.04,7
367,100000,delivered,1,5,0,75,40,1000,often,good,4000,0,0,0,0,10,357.58,7
368,100000,delivered,1,6,0,75,15,1000,often,good,9000,0,0,0,0,10,306.79,10
369,80000,delivered,1,5,0,75,40,1000,not_often,good,4000,0,0,0,0,10,356.72,11
370,65000,carried,1,5,0,75,40,2000,not_often,fair,4000,0,0,0,0,20,244,3
371,80000,delivered,1,4,0,75,30,9000,often,good,7000,0,0,0,0,90,183.17,4
372,60000,carried,1,3,0,75,40,4000,often,good,7000,0,0,0,0,40,237.61,5
373,60000,carried,1,3,0,75,15,9000,often,fair,11000,0,0,0,0,110,157.43,4
374,60000,carried,1,4,0,75,15,9000,often,good,8000,0,0,0,0,90,203.97,3
375,60000,carried,1,4,0,75,30,9000,not_often,very good,7000,0,0,0,0,90,136.36,1
376,70000,carried,2,5,0,75,40,9000,often,fair,4000,0,0,0,0,100,45.04,1
377,50000,carried,1,4,0,75,55,9000,not_often,fair,4000,0,0,0,0,130,47.68,2
378,80000,carried,1,4,0,75,30,9000,not_often,good,7000,0,0,0,0,100,79.16,0
379,40000,carried,1,4,0,75,55,9000,not_often,fair,3000,0,0,0,0,90,112.36,1
380,100000,carried,1,4,0,75,15,9000,often,good,9000,0,0,0,1,90,82.86,0
381,70000,carried,1,5,0,75,40,7000,not_often,fair,4000,0,0,0,0,70,93.41,3
382,70000,carried,1,4,0,75,30,9000,not_often,fair,7000,0,0,0,0,120,54.82,0
383,85000,carried,1,6,0,75,15,8000,often,fair,9000,0,0,0,0,80,82.46,2
384,70000,carried,1,5,0,75,40,9000,not_often,good,4000,0,0,0,0,90,118.11,2
385,95000,carried,1,6,0,75,15,8000,not_often,fair,9000,0,0,0,0,80,55.58,0
386,65000,carried,1,5,0,75,40,9000,not_often,good,4000,0,0,0,0,100,53.54,1
387,65000,carried,1,3,0,75,40,9000,often,good,7000,0,0,0,0,170,48.84,1
388,65000,carried,1,6,0,75,15,8000,not_often,good,9000,0,0,0,0,80,88.2,2
389,65000,carried,1,6,0,75,15,8000,not_often,fair,9000,0,0,0,0,80,42.2,0
390,65000,carried,1,4,0,75,15,9000,not_often,fair,8000,0,0,0,0,120,38.48,0
391,75000,carried,1,4,0,75,30,9000,not_often,good,7000,0,0,0,0,130,47.76,1
392,70000,carried,1,5,0,75,40,9000,not_often,fair,4000,0,0,0,0,120,15.62,0
393,105000,carried,1,6,0,75,15,9000,not_often,fair,9000,0,0,0,0,100,23.19,1
394,60000,carried,1,3,0,75,35,9000,often,fair,7000,0,0,0,0,170,46.49,1
